### RESET
### LABEL HIPPARCUS
### NAME_COL 0
### RA_COL 1
### DEC_COL 2
### MAG_COL 3
### MAG_BAND V
### SPEC_COL 8
### RA_DEC_TYPE 0


# List of A0V stars in the Hipparcos Catalogue.
#
# Taken from http://www.gemini.edu/sciops/instruments/nir/specstandards/A0V.html
#
# ID	RA		Dec		VMag	Plax	PM(RA)	PM(Dec)	CCDM		Sp. Type	
23691	05:05:29.78	-47:53:23.9	11.00 	2.69	63.09	-135.11	--------	A0V...
23737	05:06:09.29	-73:02:15.6	6.26	7.70	17.48	62.26	--------	A0V
23791	05:06:44.08	-14:26:40.3	9.32	2.12	24.02	2.49	--------	A0V
23819	05:07:11.88	-03:29:46.9	8.30	3.71	11.06	-14.67	--------	A0V
24092	05:10:32.96	-18:39:44.8	8.08	4.69	-0.41	9.74	--------	A0V
24266	05:12:29.12	-00:30:34.3	8.89	3.91	-2.27	-6.08	--------	A0V
24297	05:12:50.01	-01:33:49.3	9.48	5.27	0.24	-0.57	--------	A0V
24311	05:13:00.93	-00:05:31.0	8.01	6.31	-1.09	-6.84	--------	A0V
24342	05:13:26.84	-02:37:37.2	9.29	4.80	-0.96	1.76	--------	A0V
24442	05:14:37.00	+02:33:49.4	9.21	2.67	-1.49	-4.63	--------	A0V
24451	05:14:44.27	+53:12:50.2	6.16	1.90	-1.91	0.31	--------	A0V
24492	05:15:18.22	-12:43:39.5	8.44	4.58	7.12	-0.77	--------	A0V
24508	05:15:25.79	+15:37:48.4	9.12	5.20	-6.59	-5.60	--------	A0V
24555	05:16:04.13	+11:20:28.8	5.52	8.86	-8.52	-6.54	--------	A0V
24607	05:16:41.04	+01:56:50.3	6.42	5.36	-10.86	-6.61	--------	A0V
24731	05:18:11.83	-12:28:59.3	9.83	2.59	-6.91	-3.13	--------	A0V
24732	05:18:13.23	+73:16:05.0	5.81	9.09	-7.94	-26.82	--------	A0V
24831	05:19:23.69	-27:22:07.9	5.98	7.31	-3.46	-8.09	--------	A0V
24915	05:20:22.98	-26:34:05.0	8.86	4.45	5.19	2.31	--------	A0V
24924	05:20:25.37	-55:04:28.0	9.08	2.01	1.53	3.23	--------	A0Vs
24940	05:20:33.73	-66:58:53.7	11.26	-0.87	9.68	-36.33	--------	A0V
25117	05:22:36.35	-19:51:17.8	8.73	3.98	1.75	5.57	--------	A0V
25121	05:22:38.82	-01:02:33.9	9.01	4.16	-2.07	-4.08	--------	A0V
25177	05:23:07.86	-17:13:26.1	8.26	5.06	-11.60	0.19	--------	A0V
25197	05:23:27.85	+57:32:39.8	5.24	9.59	14.94	-55.97	05234+5732	A0Vn
25280	05:24:28.49	-16:58:32.8	5.64	14.84	34.67	-15.86	--------	A0V
25347	05:25:18.26	-23:10:15.1	8.45	2.66	-2.66	3.28	--------	A0V
25453	05:26:38.82	+06:52:07.2	6.41	10.68	9.64	-32.53	--------	A0Vn
25593	05:28:10.46	+35:55:25.9	10.55	0.67	0.32	-5.07	--------	A0V
25608	05:28:15.34	-37:13:50.8	5.56	11.10	11.90	67.75	--------	A0V
25617	05:28:21.54	-53:53:07.1	8.01	4.27	-4.65	-1.04	--------	A0V
25832	05:30:54.48	-32:06:41.8	8.52	2.06	7.10	15.78	-------- 	A0V
25853	05:31:07.62	-20:51:49.1	5.53	12.00	5.07	-43.02	--------	A0V
26303	05:36:05.00	-16:51:45.0	8.58	5.79	-11.78	-1.89	--------	A0V
26355	05:36:44.06	-24:42:11.9	8.34	6.87	-3.10	8.66	--------	A0V
26515	05:38:17.42	-50:38:27.5	6.43	6.25	-0.72	19.10	--------	A0V
26523	05:38:26.49	-61:10:01.2	8.08	4.06	-4.01	31.08	--------	A0V
26547	05:38:43.91	-20:06:52.8	8.41	3.71	-4.44	4.58	--------	A0Vn...
26552	05:38:46.25	-17:04:14.6	7.98	1.24	10.50	-22.18	--------	A0V
26567	05:38:55.40	-71:38:20.0	9.61	1.73	29.71	36.25	--------	A0Vp...
26577	05:39:00.94	-06:29:50.3	8.67	3.02	2.49	-7.62	--------	A0V
26698	05:40:25.46	-22:38:54.0	7.89	5.22	-2.15	-14.53	--------	A0V
26812	05:41:36.04	-03:43:52.2	7.73	5.31	16.62	-9.59	--------	A0V
26862	05:42:11.58	-30:32:07.6	6.18	5.76	-5.74	8.08	--------	A0V
26934	05:42:58.81	-04:49:58.0	9.68	1.20	-0.82	-2.64	--------	A0V
26945	05:43:02.01	-60:52:05.7	9.24	0.95	-5.27	17.25	--------	A0V
26966	05:43:21.67	-18:33:26.9	5.73	14.45	18.45	-13.20	--------	A0V
27089	05:44:39.22	-12:46:36.1	7.91	4.03	-10.69	-0.21	--------	A0V
27248	05:46:30.05	+44:05:45.4	8.51	2.47	-6.09	-3.91	--------	A0V
